user_id,username,email,password_hash,first_name,last_name,created_at,is_active
1,emily.jones,emily.jones@webmail.com,2c345d919873bdda74c4aab04159e924809ab81db0f8cfd68db003e655da0458,Emily,Jones,2022-08-24 06:50:04,False
2,jane.hernandez,jane.hernandez@webmail.com,67308c26b9c8612e4506e896448d8a8a8d1abc0cea5b7d56ec4002ae2f8a6c71,Jane,Hernandez,2021-01-31 22:24:27,True
3,alex.smith,alex.smith@webmail.com,3dcac91f6ff979342b9a886cc572f7113858f2a292d2a2294a464c3d1be37ef0,Alex,Smith,2024-05-25 10:18:47,False
4,michael.martinez,michael.martinez@example.com,aff2f48d992079d9756338e7506610f342b90137b1a2b7a04b459f434ff20726,Michael,Martinez,2020-05-27 19:22:02,True
5,sophia.jones,sophia.jones@webmail.com,7264167b7d59ffc076d47705c3e2c139065c8184cfabf5fecb50d5855ed55a02,Sophia,Jones,2022-10-18 05:08:54,True
6,jane.davis,jane.davis@mail.com,334a43c9369d27356ef16e49b58dfb298a23a0a70cc7c3ff7e4d73cc8a479a0a,Jane,Davis,2022-04-17 17:16:38,True
7,sophia.williams,sophia.williams@example.com,adb5b08e951df801d09411044b59c254fb244785fc282c8b3a47f1ab575adc89,Sophia,Williams,2020-07-01 17:08:04,True
8,michael.davis,michael.davis@mail.com,3ec511cc99b1bcdff2416fe092e931e8aea296019571710b9d18a0e8bded2fbb,Michael,Davis,2022-06-29 07:24:32,False
9,michael.martinez,michael.martinez@webmail.com,41e53c9c7d9464cba1a624d2b858f55cd4608965f240e69e0e5cfb4ac3af72de,Michael,Martinez,2024-03-18 20:43:39,False
10,alex.brown,alex.brown@example.com,da8f7c45ab70f75da69fb00d69e3b8e450db8525cfadf3478478f175c515f7af,Alex,Brown,2021-07-11 13:07:49,True
11,david.williams,david.williams@example.com,4aa0a4f912d7a8a2c21da741d5029269b6ffb335e337c256dfd31bfdd00acdd6,David,Williams,2021-04-16 22:45:25,True
12,sarah.johnson,sarah.johnson@webmail.com,e504b5fe03eaae0b48270cad0359fd952ca8ff7d410caab19d19a7225c44dbcc,Sarah,Johnson,2023-09-03 23:24:04,True
13,john.williams,john.williams@mail.com,cd68f49f6f9129b0e33280ab22579ab7aab003d3b298082f76c60072881f7750,John,Williams,2021-05-27 23:10:25,False
14,john.garcia,john.garcia@example.com,0427052e188204b80d00a32d8d437df306390e1086aaeb70093fe324378a2302,John,Garcia,2020-04-04 04:45:52,True
